	CourseId	Category	Code	Title	Description	ReviewCount	DocCount
478	478	ECON-UH	2513J	Social Entrepreneurship for Economic Development : India	Social Entrepreneurship for Economic Development (SEED): India.  The development of homegrown, community-owned business is a critical element for the economic success of any society, and yet it is not a major area of focus for development institutions and nonprofits in their work with vulnerable populations around the world.  Social Entrepreneurship for Economic Development (SEED), India is a unique educational experience that will combine business theory and experiential learning in an effort to harnesses the talents of low-income populations to generate sustainable businesses. The objectives are to (1) develop prototypes or minimum viable products that can help solve a social need in a rural community in India, and, with this foundation, (2) develop an entrepreneurship module for the volunteer staff of one of India’s leading education-oriented nonprofits, Educate Girls.  SEED will also build on the experiences of NYU’s Stern International Volunteers (Ghana) course, which has helped incubate several community-owned businesses and educational initiatives in rural Ghana.	0	0
479	479	ECON-UH	2514	Economics of Sovereign Wealth Funds	Sovereign wealth funds (SWFs) are key actors in the global financial landscape of the twenty-first century.  These funds manage assets worth more than 7 trillion of US dollars and have grown more rapidly than any other class of large global investors—and thus appear set to strongly influence international investing for the foreseeable future. Yet, in spite of their size and relevance, SWFs are still quite poorly understood. What explains their momentous rise? What is the economic rationale for their establishment? How do they differ from other global institutional investors? Which economic, institutional, and governance challenges to they face? Against this backdrop, this course will introduce the student to the economic principles of sovereign investing and to key, selected problems and issues in sovereign wealth management in the international context and with special reference to the UAE, home of some of the leading SWFs.	0	0
480	480	ECON-UH	2610	International Economics	Examining both macro and micro aspects of the globalization of world economies, this course begins with the fundamentals of trade: comparative advantage, gains from trade, the price of factors of production, and the implications of labor and capital mobility. The second part of the course covers the role of money and finance in global economic activity. Topics include: the roles of the exchange rate; current and capital accounts as key variables in international economic relations; purchasing power parity and interest rate parity; the international effects of macro policy and government exchange rate policies; the role of oil exports in the world economy; and the role of international economic organizations such as the International Monetary Fund and the World Trade Organization.	0	0
481	481	ECON-UH	2620J	Understanding Financial Crises	The purpose of this course is to understand the key facts and basic mechanisms concerning financial crises and related topics. The course will first begin by studying empirical evidence about financial crises as well as the basic crisis mechanisms (bank runs, sovereign default decision, currency collapse). The empirical facts will provide a perspective on the recurrence of different types of financial crises (banking crises, currency crises, and sovereign debt crises). Students will study their causes, their resolutions, and their long-run consequences. The crisis mechanisms will be introduced through very simple canonical models, with emphasis on intuition and insight over model technicalities. Once these foundations are in place, the course will open up on a series of topics with mixed themes such as crises and long run growth; inequality and crises; crises, stabilization and reforms. An in-depth study of major crises episodes, such as the Great Depression, the US Financial Crises of 2007–2008, and the Euro Crisis will be offered. The classes will be complemented by visits to Washington, D.C. institutions and by exchanges with officials who played a key role during past financial crises.	0	0
482	482	ECON-UH	2621J	Crises, Policies and their Aftermath	"The purpose of this course is to review the key facts and understand the mechanisms at work before, during and after financial crises. Located in Paris, a specific focus will be given to European developments in the wake of the sovereign crisis. The course will be divided into two parts. It will start by looking at the main empirical evidence about financial crises. This evidence will be used to establish a ""typology"" around the canonical models of bank runs, sovereign defaults, and currency collapses. These empirical facts and the derived typology will equip students with the tools to analyze the causes of crises, the policy responses that they have triggered, and their long-run economic and financial consequences."	0	0
483	483	ECON-UH	2710	Labor Economics	This class will study the various ways that workers and firms interact in labor markets. What factors determine how much labor individuals supply to the market? What determines labor demand by firms? How do firms design contracts to provide the right incentives to their workers? What determines wage inequality in the economy? What can insights from labor economics contribute to debates surrounding policies such as immigration reform, welfare reform, and income taxation? The class will expose students to the basic theoretical models used by economists to tackle these issues. Students will also survey evidence from empirical studies on these topics.	0	0
484	484	ECON-UH	2711	Health Economics	This course will focus on the application of economic principles to examine issues in health economics. The first part of the course will focus on theoretical models of supply and demand for health and health care, and the transformation of health care into health. We will then apply these models to understand how health insurance markets work, the importance of externalities in health and health care, the interaction between markets for health and labor, and the role of government intervention in health care provision. We will also discuss key characteristics of current health care programs in the United States and elsewhere. Overall, this course will be a combination of discussion of important issues in health care, learning models that are helpful in explaining various aspects of health care and understanding what is known empirically. By the end of the course, students should be able to use economic reasoning to think critically about health-related policy issues.	0	0
485	485	ECON-UH	3010	Economics of Imperfect Markets	This course studies causes, consequences, and remedies for market failures.  Causes of market failure include insufficient competition (e.g., monopoly or oligopoly), consumption externalities, the presence of public goods, or the presence of information asymmetries (e.g., adverse selection or moral hazard).	0	0
486	486	ECON-UH	3030	Economic Growth	This course introduces the students to the modern analysis of economic growth by addressing questions such as: What explains the considerable growth in incomes per capita that advanced economies have experienced since the late eighteen century? Why are some countries so much richer than others? Will poor countries close the gap with rich countries? What is the driving force of growth in the long run? Are the benefits of growth equally shared between different social classes? How does government policy affect growth? How do the underlying characteristics of an economy - such as its institutions, skill distribution, and demographic trends - affect its growth rate?	0	0
487	487	ECON-UH	3210	Quantitative Methods of Applied Economics	The purpose of this course is to introduce students to an applied, intermediate level of quantitative and econometric analysis. The first part of the course will focus on multiple regression analysis. The second part covers experimental and non-experimental methods that are often used in empirical research and evaluation. The course is intended to give students hands-on experience with real data and real analysis, helping students become sophisticated consumers of relatively advanced statistical techniques, as well as to provide students practical knowledge to conduct their own empirical analysis. Many applications will use data from developing countries.	0	0
488	488	ECON-UH	3310EJ	Economic Decisions and the Brain	What drives economic decisions? How much risk should you accept, how much money should you save, how should you negotiate with others? Can you trust your gut? Modern research in economics has clearly shown that humans are not fully rational, impulse-free decision makers. But how are decisions actually made then, and how can we improve them? This course will review experimental evidence on the many mistakes and biases that humans fall prey to and look at evidence from psychology and neuroscience illustrating the origins of those mistakes. We will use that evidence to illustrate models of decision making arising from both economics and psychology (for example, expected utility theory vs. prospect theory, exponential discounting vs. hyperbolic discounting). Along the way, we will discuss related evidence from brain scanning and imaging studies and process data (response times, eye tracking) and what they have to say about economic decisions.	0	0
489	489	ECON-UH	3410	Development and Public Policy	This course will cover the international aspects of contemporary economic development and poverty reduction in developing countries, including the various dimensions of globalization (trade, migration, capital movements, knowledge transfer, global public goods ...), the potential conflicts of interest between developing and developed countries, the need for global governance and the role of international organizations.	0	0
490	490	ECON-UH	3450	A History of the Modern World Economy	The modern world economy is marked by large disparities in incomes between countries. Why are some countries rich, while others are poor? This course explores the origins of this “Great Divergence” in living standards between countries, focusing on the way in which geography, colonialism, culture, and globalization have spurred or hindered economic development across the globe.	0	0
491	491	ECON-UH	3460	Poverty	International organizations today define poverty as having to live with less than USD 1.90 a day at the prices observed in advanced countries. With such a definition, there are today a little less than 1 billion poor people in the world, or 13 percent of the global population. With the same definition, there were more than 90 per cent two centuries ago. This seems indeed a huge progress. Yet, there are serious questions behind that definition and those figures. Why USD 1.90 a day? Where does this figure come from? How satisfactory is a definition of poverty that implies that there is practically no poor person in the United States or Europe today? Should poverty be measured with a pure monetary metric? How should the subjective and social aspect of poverty be taken into account? Alternative definitions often paint a much less optimistic landscape, with poverty diminishing much more slowly and in some cases not at all. More fundamentally, how is it the case that, even with the 1.90 USD a day definition, there still are countries today where about half the population is below that level? What are the obstacles these countries face in trying to access a higher standard of living?	0	0
492	492	ECON-UH	3511X	Islamic Economics and Finance	This course provides a foundational understanding of the principles of Islamic economics and mode, products and procedures of Islamic finance. This course familiarizes students with the roles and functionalities of Islamic finance in the context of the financial services industry today.	0	0
493	493	ECON-UH	3512	Global Asset Allocation	This course analyzes the drivers of asset prices and explains how they impact the investment decision process in diversified global multi-asset portfolios. The students will learn to distinguish between macro-economic fundamentals, technical parameters and valuation parameters and how the overall assessment of these indicators impacts the investment decisions. The course will cover portfolio optimization as well as techniques of risk management based on the utilization of derivative instruments. The students will subsequently analyze how specific macro-economic drivers have historically had differentiated impacts across advanced, emerging and GCC markets, observing market movements across risk-on- and risk-off moments (financial crises). Equipped with the tools of asset allocation in global multi-asset portfolios, students will finally use this historical empirical analysis as a basis for identifying global and local risk factors in today’s market context, and discuss ways of how to protect portfolios accordingly. This will be done with a special focus on GCC and Emerging Markets.	0	0
494	494	ECON-UH	3513	Advanced Investments	This course presents classical and modern ideas of finance with an applied focus. Students will master the analytic tools and the financial theory for making smart investments by using stocks and bonds but will also get their hands dirty with the data. The course starts with an overview of important methods from mathematics and statistics, software tools and financial data. It continues with the pricing of bonds and other fixed-income instruments, discusses the risks associated with fixed-income investments, demonstrates the methods to derive zero-coupon yield curves and shows how to hedge interest rate risk. The course then deals with stocks and covers the following topics: Predictability of stock returns, The cross-section of stock returns, Asset pricing theory (utility, discount factors, expected returns, CAPM, ICAPM, APT), Empirical asset pricing methods (time-series predictive regressions, cross-sectional Fama-MacBeth as well as Fama and French regressions). We also study the performance of Mutual funds and Hedge funds. The final session of the course will be devoted to answering questions related to this course that are frequently asked in the job interviews in investment banks.	0	0
495	495	ECON-UH	3520	Corporate Finance	This course introduces the student to selected problems and issues in financial management and corporate financial policy. Topics include: capital budgeting (strategy and techniques associated with the analysis and selection of capital projects, financial forecasting, and financial planning) and corporate finance (the cost of capital and issues associated with raising capital, mergers and acquisitions decisions, corporate bankruptcy, managerial control, and compensation strategies). Problem sets and case studies are integral parts of this course.	0	0
496	496	ECON-UH	3600	Topics in International and Macroeconomics	In this course students work through academic research papers in the area of XX that are closely connected to the research interests of the professor. One of the outcomes is a research proposal that each student prepares. Students can take multiple versions of this course for credit.	0	0
497	497	ECON-UH	3630	Public Economics	This course is about the economic activities of government, largely revenue raising and spending, in a global context. The course considers market failures; the evaluation of public expenditures; and the incidence, efficiency, and effects of various taxes. The primary purpose is to use economic tools (mainly microeconomic) to study the impact of government policy on the distribution of resources. Topics include: welfare economics; public goods and externalities; public choice; important issues of government expenditure, taxation, and activity (e.g., international public goods and institutions, tax competition and coordination, education, social security and health care); fiscal federalism (including European integration); and mechanisms of political influence (e.g. elections and lobbying).	0	0
498	498	ECON-UH	3710	Economics of Education	This course will study the Economics of Education.  This is an important area of investigation both because of its inherent interest to all of us involved in education and for its policy relevance. The course will use the tools of microeconomics, macroeconomics and econometrics that you have accumulated over your undergraduate studies. Students will refresh these tools as part of the lectures. The course is organized around traditional economic themes of demand, supply, equilibrium and government policy.	0	0
499	499	ECON-UH	3910	Advanced Microeconomics	Building on the foundations laid down in courses in Microeconomics at the intermediate level, this course provides a thorough treatment of some more advanced questions. The course starts with a careful study of the functioning of markets, culminating with the first and second theorem of welfare economics. The next topics cover an introduction to strategic behavior and game theory, and subsequently a study of market failures under adverse selection and moral hazard. This course involves a more formal analysis than that used in Intermediate Microeconomics. The course is mathematical, and at times proof-oriented. Students should be familiar and comfortable with multivariable calculus and basic linear algebra.	0	0
500	500	ECON-UH	3911	De Gustibus Non est Disputandum	"So called ""non-economic"" aspects like social interactions, trust, solidarity, fairness, emotions or cultural and social norms become increasingly acknowledged in various important economic and social policy areas like crime, ethnic conflicts, gender, the welfare state and economic development, The purpose of this course is to introduce the basic tools of microeconomic analysis and other fields (sociobiology, evolutionary anthropology, network theory, population dynamics) to such issues, emphasizing the role of endogenous preferences, culture, social norms and social interactions and their implications for markets, communities and institutions."	0	0
501	501	ECON-UH	3912	Economics of Networks: Theory and Applications	Our opportunities and our choices are shaped by our connections. The awareness that connections matter leads us to invest in them. And these investments give rise to networks of friendship, the World Wide Web, supply chains, research alliances, transport links, and many other networks which we see around us. These observations have inspired an exciting new research program which examines the origins and the implications of networks. The lectures in this course provide a rigorous introduction to this research.	0	0
502	502	ECON-UH	3920J	Collective Welfare and Distributive Justice	This course explores the contribution of macroeconomic analysis to the normative issues surrounding the design of collective decision processes (voting rules, bargaining protocols), and the fair distribution and exploitation of scarce resources through prices or other market mechanisms. Attention is on the rigorous modeling of individual and collective welfare, and the logical difficulties of combining economic efficiency with the requirements of end-state and procedural justice. Applications include the Gini and other inequality indices, the Borda and Condorcet voting rules, the design of tax schedules, fair division of an inheritance, overcoming the tragedy of the commons, and more.	0	0
503	503	ECON-UH	3940	Advanced Macroeconomics	This course provides a formal study of aggregate, dynamic, stochastic, and economic analysis, with attention paid first to the determination of the level of income, employment, and inflation. Next, the class will examine theories and the policies associated with inflation and hyperinflation, entitlement reforms, and the formation of optimal monetary and fiscal policies. Throughout the course modern computational methods will be introduced and applied to solve economic models.	0	0
504	504	ECON-UH	4000	Economic Policy	Economic policy may be seen as the ultimate goal of economic analysis. How to choose between alternative economic courses in some specific area or at the macroeconomic level? How to tradeoff one policy objective, e.g. equity, versus another, e. g, efficiency? How to take into account political constraints while looking for socially optimal policies? Such is the nature of the questions to be handled in this course, which may be taken as the natural culmination of an economic curriculum. Its aim is to make students familiar with the main contemporary issues in economic policy at national level and to equip them with the analytical instruments to understand what is at stake in policy debates around the world and, ultimately, to form one's opinion about what should be done in particular areas. The course will deal with economic policy issues as applicable to any country, even though special attention will be given to emerging and developing countries. As far as possible, it will also systematically emphasize the distributional consequences of policies and consequent political economy dimension? It will not deal with multilateral issues like trade, migration or environment.	0	0
505	505	ECON-UH	4020	Capstone Seminar	The two-semester seminar is designed to provide a capstone experience. Students work closely with faculty and fellow students to learn how to apply economic reasoning to human problems. Students will write several short policy papers and present them to classmates for review; they will also produce longer senior theses.	0	0
506	506	ECON-UH	4099	Capstone Project	The sequel to the Capstone seminar is designed to conclude the capstone experience. Students work closely with faculty and fellow students to complete their senior theses.	0	0
507	507	ECON-UH	4210	Advanced Econometrics	The course presents advanced econometric methods for cross-sectional, time series and panel data. It introduces estimation methods such as Maximum Likelihood and Generalized Method of Moments for univariate and multivariate linear and nonlinear micro-econometric models, including discrete choice, censored regression and sample selection models. Attention is next turned to time series models, such as stationary ARMA and autoregressive distributed lag models with dynamic causal effects, and issues that arise when nonstationarity is present, such as structural breaks, trends, unit roots and cointegration. The course proceeds to introduce static and dynamic panel data models along with appropriate methodology such as fixed and random effects. It finally considers methods for high-dimensional (“big”) data, such as regularization, principal component and factor analysis, and offers an introduction to non-parametric estimation. The students will apply the methods to real data using appropriate econometric packages such as STATA and R.	0	0
508	508	EDUC-UH	1001J	International Peacebuilding and the Role of Education	This J-Term course explores how state and nonstate actors pursue peace and security and the role that education plays in this process. We review various tools of international peacebuilding including peace agreements, peacekeeping forces, institution building, and humanitarian aid, and examine how education fits into these strategies. We also examine the ways education may be used to disrupt peacebuilding. We will look at specific education initiatives such as peace education, Education for All, and citizenship education, but we will focus heavily on refugee education, specifically conducting a 5-day site visit to Jordan to meet with organizations currently supporting Syrian refugee education. We will also study briefly Afghanistan, Guatemala, and the United States. Guest speakers (from e.g., UN, INEE, GCPEA)  will speak about their day-to-day operations and their institutional roles, and students will be asked to prepare questions to interview the guests. Assignments and discussions in class are intended to prepare students both for professional positions designing and implementing education strategies in post-conflict countries as well as for further research in the field.	0	0
509	509	ENGR-GH	6422	Data Analysis for Urban Systems	2 credits	0	0
510	510	ENGR-UH	1000	Computer Programming for Engineers	The objective of the course is for students to acquire the fundamental knowledge of computer programming, develop transferable programming skills, and learn to solve engineering problems via programming. The course is primarily based on the C++ programming language and an introduction to another programming language such as MATLAB (to demonstrate transferring programming knowledge from one language to another). The course explores the application of engineering computation in various engineering domains including mechanical, civil, computer, and electrical engineering. The following topics are covered: introduction to computer systems, standard input/output, file input/output, decision structures, loop structures, functions, arrays, addressing, dynamically allocated memory, structures, introduction to object oriented programming, problem solving via programming algorithm design, and applications in another programming language such as MATLAB.	0	0
511	511	ENGR-UH	1010	Engineering Ethics	1 credits	0	0
512	512	ENGR-UH	1021J	Design and Innovation	2 credits	0	0
513	513	ENGR-UH	2010Q	Probability and Statistics for Engineers	2 credits	0	0
514	514	ENGR-UH	2011	Engineering Statics	2 credits	0	0
515	515	ENGR-UH	2012	Conservation Laws in Engineering	2 credits	0	0
516	516	ENGR-UH	2013	Digital Logic	2 credits	0	0
517	517	ENGR-UH	2014E	Experimental Methods	2 credits	0	0
518	518	ENGR-UH	2017	Numerical Methods	2 credits	0	0
519	519	ENGR-UH	2019	Circuits Fundamentals	2 credits	0	0
520	520	ENGR-UH	2025	Fundamentals of Discrete Math	2 credits	0	0
521	521	ENGR-UH	2026	Partial Differential Equations for Engineers	2 credits	0	0
522	522	ENGR-UH	2111	Design Fundamentals	(Formerly ENGR-AD 323)The course Design Fundamentals is designed for engineering students to learn the fundamentals of “good design”—how to be innovative, whilst keeping the design useful, aesthetic, understandable, unobtrusive, honest, long-lasting, detailed and environmentally friendly, and emphasizing essential aspects. The aim of this course is to enable students to discuss eye-to-eye with other creative professionals, design topics, and to be able to apply design rules to their own projects. Design Fundamentals is a hands-on course in design and innovation serving the specific needs of engineers.	0	0
523	523	ENGR-UH	2112	Engineers for Social Impact	2 credits	0	0
524	524	ENGR-UH	2113	Introduction to Manufacturing Processes	2 credits	0	0
525	525	ENGR-UH	2210	Engineering Dynamics	2 credits	0	0
526	526	ENGR-UH	2211	Solid Mechanics	2 credits	0	0
527	527	ENGR-UH	2212	Fluid Mechanics	2 credits	0	0
528	528	ENGR-UH	2310	Advanced Digital Logic	2 credits	0	0
529	529	ENGR-UH	2311	Advanced Circuits	2 credits	0	0
530	530	ENGR-UH	2510	Object-Oriented Programming	2 credits	0	0
531	531	ENGR-UH	2610	Fundamentals of Complex Variables	2 credits	0	0
532	532	ENGR-UH	3110	Instrumentation, Sensors, Actuators	The course focuses on theory of measurement systems, selected electrical circuits and components for measurement, including passive and active filtering for signal conditioning, dynamic measurement system response characteristics, analog signal processing, analog to digital conversion, data acquisition, sensors, actuators and actuator characteristics. The laboratory involves topics related to the design of measurement systems pertaining to all disciplines of engineering such as data acquisition, operational amplifiers, sensors for the measurement of force, vibration, temperature etc. In addition, actuators will also be introduced, including electric motors and pneumatics. Design of virtual instrumentation systems using LabVIEW is also included.	0	0
533	533	ENGR-UH	3111	Analysis of Chemical and Biological Processes	Many problems can arise in the design of new process or in the analysis of an existing process. This course introduces basic concepts and methods to solve problems in chemical and biological processes. We will focus on using principle of mass conservation to determine the amount of products when given amounts of raw materials and vice versa. We will also apply the principle of energy conservation to analyze processes involving reactive and non-reactive systems. This course will prepare students for their subsequent courses in the chemical and biological engineering major such as transport phenomenon, kinetics, and process separations.	0	0
534	534	ENGR-UH	3120	Engineering Materials	2 credits	0	0
535	535	ENGR-UH	3130	Quantitative Synthetic Biology	The course focuses on the fundamental principles of biology from an engineering perspective. These principles are necessary to understand the basic mechanisms of living organisms. As the laws of nature governing these mechanisms are expressed as differential equations, the main goal of this course is to introduce and model biological processes using tools from dynamical systems theory, with particular focus on the role of feedback. Throughout this course, students will learn how biological functions can be analyzed and designed using mathematical models, and how to use these models along with tools from controls and dynamical systems theory to predict and engineer the dynamics of biological systems.	0	0
536	536	ENGR-UH	3210	Structural Components Analysis	2 credits	0	0
537	537	ENGR-UH	3230	Finite Element Modeling and Analysis	Students study the basic theory and equations involved in the finite element analysis (FEA) for simulating behavior of materials and structures. Topics include use of shape functions, numerical integration, assembly of finite elements into a structure, and solution of the resulting system of equations. The course emphasizes both theory and application of modeling for simulation. Students also learn to recognize modeling errors and inconsistencies that could lead to either inaccurate or invalid results.	0	0
538	538	ENGR-UH	3410	Structural Systems	2 credits	0	0
539	539	ENGR-UH	3411	Environmental Engineering	This course introduces application of engineering and scientific principles to protect and preserve human health and the environment. It embraces broad environmental topics and concerns, including mass and energy transfer, environmental chemistry, mathematics of growth, water pollution, water quality control, air pollution, global climate change and solid waste management; and laboratory analysis of water and wastewater samples and treatment process tests. Students gain an understanding of the interrelatedness of environmental problems around the world and how different socioeconomic, technological, ethical, and other factors can impact both the environment and the approach to solving environmental problems. Factors and parameters affecting design of environmental systems are discussed and design in environmental engineering is introduced.	0	0
540	540	ENGR-UH	3412	Geotechnical Engineering	This course introduces soil mechanics and foundation engineering, including origin of soils; phase relationships; classification of soils; permeability; effective stress; seepage; consolidation; shear strength; slope stability; and bearing capacity. Design in geotechnical engineering is introduced and parameters affecting design are discussed.	0	0
541	541	ENGR-UH	3413	Transportation and Traffic Engineering	The course introduces students to fundamental concepts that underlie highway design, traffic operations and control, and transportation systems.  The course begins with vehicle performance and the role it has on road design. We later cover the fundamentals of traffic flow theory and operations. In combination with such fundamentals we also discuss the use and collection of traffic data, as well as more advanced concepts on traffic safety, public transportation, and traffic management and control. Moreover, we look at clear applications of the concepts covered in class with a real-world student led project	0	0
542	542	ENGR-UH	3420	Project Management	2 credits	0	0
543	543	ENGR-UH	3430	Steel Structures Design	2 credits	0	0
544	544	ENGR-UH	3431	Concrete Structures Design	2 credits	0	0
545	545	ENGR-UH	3432	Water and Wastewater Systems Design	2 credits	0	0
546	546	ENGR-UH	3450	Geographic Information System	The course introduces the concepts and principles of Geographic Information Systems (GIS), techniques. This course covers state-of-the-art GIS methods and tools including: spatial and terrain analysis, geostatistical analysis, time series analysis, and development of GIS models. The projects provide experiential insight to geographic information system concepts, and require students to use existing tools to create and build prototypes of real-life applications.	0	0
547	547	ENGR-UH	3510	Data Structures and Algorithms	This course presents an overview of fundamental data structures, which are commonplace in programming, as well as associated basic algorithms. Complexity analysis, linked lists, stacks, queues, trees, hashing, sorting, and basic graphs algorithms are covered. Core topics such as Floyd’s algorithm, minimum spanning tree algorithms, and branch and bound techniques are also covered. Practical lab exercises complement the lectures. The students further specialize and consolidate their knowledge through lab projects to demonstrate the operation and applications of various data structures.	0	0
548	548	ENGR-UH	3511	Computer Organization and Architecture	The course introduces the principles of computer organization and basic architecture concepts. It discusses the basic structure of a digital computer and study in details formal descriptions, machine instruction sets design, formats and data representation, addressing structures, mechanization of procedure calls, memory management, arithmetic and logical unit, virtual and cache memory organization, I/O processing and interrupts, fundamental of reliability aspects. The course also covers performance and distributed system models. The labs emphasize experiential learning of computer organization and architecture concepts, and require students to use learned knowledge to create and build prototypes and evaluate their performance.	0	0
549	549	ENGR-UH	3512	Computer Networks	The course introduces the basic concepts of computer and communication networks, including flow control, congestion control, end-to-end reliability, routing, framing, error-recovery, multiple access, and statistical multiplexing. There is in-depth presentation of the different networking layers, with emphasis on the Internet reference model. Protocols and architectures such as the TCP, IP, Ethernet, wireless networks etc. are described in order to illustrate important networking concepts. The course includes an introduction to quantitative analysis and modeling of networks. The labs cover basic concepts of computer networking and applications, and require students to use existing networking APIs to create and build computer network prototypes and real-life applications.	0	0
550	550	ENGR-UH	3530	Embedded Systems	This course presents an overview of embedded systems, covering a selection of topics including microcontroller architecture, assembler programming, interrupts, peripheral interfacing, embedded system design, higher-level languages on embedded systems, as well as a brief introduction to real-time operating systems. Practical lab exercises complement the lectures. The students further specialize and consolidate their knowledge through semester-long hands-on projects.	0	0
551	551	ENGR-UH	3610	Signals and Systems	This module covers analytical techniques for analyzing, characterizing and synthesizing engineering systems. Systems approaches where the entire system or each of the sub-systems is considered as single units are introduced. Introductory topics in this course include: sinusoids, phase and time shift, and complex exponentials. Operations on sinusoidal signals include addition of signals with the same frequency via the phasor addition rule, conversion between time-shift and phase, and addition of signals with different frequencies via the introduction of the frequency spectrum concept. Topics on discrete time systems include: FIR and IIR filtering, impulse response, causality, linearity, time invariance, and convolution. Time and frequency domain representations of systems and conversions between these representations are also studied. Z-transform domain, the concept of poles and zeros, stability and their relevance to the time and frequency domains are also covered. Topics on continuous time systems include continuous-time convolution, the Laplace transform, Fourier analysis for continuous-time signals, and the Sampling theorem.	0	0
552	552	ENGR-UH	3611	Electronics	This course focuses on fundamentals of electronics theory and design. The topics covered include semiconductor physics, diodes, diode circuits such as limiters, clamps; bipolar junction transistors; small-signal models; cut-off, saturation, and active regions; common emitter, common base and emitter-follower amplifier configurations; field-effect transistors (MOSFET and JFET); biasing; small-signal models; common-source and common gate amplifiers; and integrated circuit MOS amplifiers. The laboratory experiments include the design, building and testing of diode circuits, including rectifiers, BJT biasing, large signal operation and FET characteristics, providing hands-on experience of design, theory and applications, with emphasis on small signal analysis and amplifier design. The course also covers the design and analysis of small-signal bipolar junction transistor and field-effect transistor amplifiers; and, diode circuits. The students are introduced to designing and analyzing circuits using the LTPSpice or Cadence simulation tool.	0	0
553	553	ENGR-UH	3613	Electromagnetics	Electromagnetic wave propagation in free space and in dielectrics is studied starting from a consideration of distributed inductance and capacitance on transmission lines. Electromagnetic plane waves are obtained as a special case. Reflection and transmission at discontinuities are discussed for pulsed sources, while impedance transformation and matching are presented for harmonic time dependence. Snell’s law and the reflection and transmission coefficients at dielectric interfaces are derived for normal and obliquely propagating plane waves. Guiding of waves by dielectric and by metal waveguides is demonstrated.	0	0
554	554	ENGR-UH	3620	Analog and Digital Communication Theory	The course introduces the principles of the various analog communication fundamentals. Topics covered include: analog modulation techniques such as FM, AM, and PM; noise performance of various receivers; and digital data transmission, data encoding, BER, modulation techniques such as ASK, FSK, PSK and QAM, and the effects of noise and bandwidth. The labs emphasize experiential learning of basic analog and digital communication theory concepts and applications, including experiments demonstrating analog and digital modulation techniques.	0	0
555	555	ENGR-UH	3710	Thermodynamics	2 credits	0	0
556	556	ENGR-UH	3720	Computer-Aided Design	2 credits	0	0
557	557	ENGR-UH	3750	Vibrations	2 credits	0	0
558	558	ENGR-UH	3751	Heat Transport	2 credits	0	0
559	559	ENGR-UH	3810	Physiological Modeling	2 credits	0	0
560	560	ENGR-UH	4010	Senior Capstone Seminar	2 credits	0	0
561	561	ENGR-UH	4011	Senior Design Capstone Project I	2 credits	0	0
562	562	ENGR-UH	4020	Senior Design Capstone Project II	The students finalize the proposed design solution, and test and verify the solution. Design modifications based on the test data are incorporated. If applicable, prototypes are built and tested. A final report for the project is prepared and the students make a presentation of their project to peers, faculty, and other professionals.	0	0
563	563	ENGR-UH	4141	Fundamentals and Applications of MEMS	This course introduces students to the multi-disciplinary and exciting field of Micro-Electro-Mechanical Systems (MEMS) technology. It covers several cases of existing MEMS devices, their applications and limitations. The course also covers fundamentals of micromachining and micro-fabrication techniques that are central to the production of MEMS devices. Furthermore, the course introduces the design and analysis principles of several MEMS devices such as capacitive, piezoelectric, electrostatic sensors and actuators, MEMS-based medical and surgical devices, and biomedical lab-on-a-chip device. The course includes several lectures on the concepts of MEMS design processes, assembly, and packaging. Several types of assignments are included during this course, such as analytical problems, simulation and design assignments, and seminars given by the students. Also, a project that involves design, simulation, and analysis of MEMS devices is a vital component of this course.	0	0
564	564	ENGR-UH	4142	Bio-sensors and Bio-chips	This course covers the principles, technologies, methods and applications of biosensors and bioinstrumentation beginning with an examination of the ethical, legal, cultural, religious, and social implications of nanotechnologies. The objective of this course is to link engineering principles to understanding of biosystems in sensors and bioelectronics. The course provides students with detail of methods and procedures used in the design, fabrication, and application of biosensors and bioelectronic devices. The fundamentals of measurement science are applied to optical, electrochemical, mass, and pressure signal transduction. Upon successful completion of this course, students are expected to be able to explain biosensing and transducing techniques; design and construct biosensors instrumentation.	0	0
565	565	ENGR-UH	4160	Selected Topics in Biomedical and Health Systems	2-4 credits	0	0
566	566	ENGR-UH	4230	Applied Optimization	This course provides an introduction to systems optimization focusing on understanding system tradeoffs. Introduces modeling methodology (linear, integer, stochastic, dynamic, and nonlinear programming), with applications in production planning, scheduling and manpower planning, time-phased planning, inventory and logistics management, supply chain network design, facility sizing and capacity expansion, capital budgeting models, assignment and matching, and transportation models. In this class, students learn powerful modeling and solution techniques for decision-making problems that are used today by thousands of successful companies to help them to reduce their operation costs and therefore saving millions of dollars. The course covers some of the optimization methods such as simplex method, duality analysis, branch-and-bound, and KKT Conditions for solving nonlinear convex programming problems.	0	0
567	567	ENGR-UH	4420	Urban Infrastructure Systems	The course provides a basic descriptive overview of key urban infrastructure systems and technologies with reference to management, operation, and maintenance of these systems. These systems include infrastructure of water supply; solid and liquid waste treatment and disposal, mass transit, power, communication networks, and buildings, roads and bridges.	0	0
568	568	ENGR-UH	4431	Foundation Engineering Design	2 credits	0	0
569	569	ENGR-UH	4434	Water Desalination Engineering	2 credits	0	0
570	570	ENGR-UH	4460	Selected Topics in Urban Systems	2-4 credits	0	0
571	571	ENGR-UH	4560	Selected Topics in Information and Computational Systems	2-4 credits	0	0
